SISF_NR; ART_SCHICHT_STD; ART_HS_COLLIN; ART_HS_SUBMONTAN; ART_HS_UNTERMONT; ART_HS_OBERMONT; ART_HS_HOCHMONT; ART_HS_SUBALPIN; ART_HS_OBSUBALP; ART_REGION_J; ART_REGION_M; ART_REGION_1; ART_REGION_2A; ART_REGION_2B; ART_REGION_3; ART_REGION_4; ART_REGION_5A; ART_REGION_5AA; ART_REGION_5B; ART_ZEIG_DET; ART_ZEIG_FLO; ART_LEBENSR
43100;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;Föhrenwälder;t2k4l3f2w1r3n2h3d3;3.2 7.1 8.2 9.1
45700;1;0;0;0;0;0;1;1;9;9;9;9;9;9;9;9;9;9;In den Südalpen auch ober- und hochmontan, mässig wechselfeucht;t2k3l4f3.5w2r2n2h5d1;6.4 6.5 7.1 9.1
46750;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k4l4f1w1r4n2h3d5;2.2 2.5 3.2 6.2
47900;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken;t4.5k2l4f2.5w2r3n4h3d3;2.1 2.2 2.5 2.9
48200;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;Tonig-schwere Böden;t4k2l2f3w3r4n3h3d1;2.3 2.5 9.2
48300;1;1;1;1;1;0;0;0;9;9;9;9;9;9;9;9;9;9;luftfeucht;t3.5k2l2f3.5w1r3n4h3d3;2.6 4.2 7.2 9.2
48700;1;1;1;0;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t4k2l2f3.5w1r4n3h5d3;
49000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;;t4.5k2l3f1.5w1r3n2h3d3;6.7 7.4 9.2 9.3
49500;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden;t5k2l3f1w1r4n2h1d5;2.2 3.2 3.3 6.2
49600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Föhntäler;t4k2l2f3.5w1r4n3h3d3;7.4 9.2 9.3
49900;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t4k4l3f2w1r2n2h1d5;3.2 9.2 9.3
50800;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;sauer, Fels, Blockschutt;t5k3l3f2.5w1r2n2h1d5;3.2 7.6 9.1 9.3
50900;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t2.5k4l4f2w1r5n2h1d5;3.2 3.3
51200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t2.5k4l4f1.5w1r2n1h1d5;3.2 3.3
51400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t3k3l3f2w1r2n2h1d5;3.2 3.3
51500;1;0;0;1;1;1;1;0;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t2k2l2f3.5w1r5n2h3d5;3.2 9.1 9.2 9.3
51900;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken;t3.5k4l3f2w2r5n2h3d1;6.2 7.4 9.1 9.3
52000;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t2k3l3f3.5w3r4n2h3d1;4.1 5.1 6.5 9.1
54000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k4l3f2w1r4n3h3d3;2.6 6.7 7.4 9.1
54300;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;nur trockenste Föhrenstandorte;t4.5k5l3f1w1r4n2h3d3;2.5 6.2 7.4 9.1
54400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden;t4k5l4f1w1r5n2h1d5;2.5 3.3 6.2 9.1
55200;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;Hochstaudenflur;t2.5k3l3f3.5w1r4n3h3d1;6.3 6.5 7.2 9.2
55600;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;Hochstaudenflur, kalt;t2k2l2f3.5w1r2n3h5d3;3.2 7.2 8.1 9.2
55700;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;luftfeucht;t3k2l2f3w1r2n3h5d3;3.2 7.2 9.1 9.2
57400;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3k3l2f2.5w2r1n2h5d3;6.5 7.1 9.1 9.2
59200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k4l3f2w1r4n2h3d3;7.4 9.1 9.2 9.3
62000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2k3l4f2.5w1r4n2h3d5;3.3 6.2 6.5 9.1
62500;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t2.5k3l2f2.5w1r1n2h5d3;6.3 8.1 9.1 9.2
63900;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken;t3k4l3f2w2r4n3h3d1;6.2 6.7 9.1 9.2
64000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken;;
64200;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3.5w2r3n3h3d3;7.4 9.2 9.3 9.5
65700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken;t4k4l4f2w2r4n2h3d3;2.5 3.2 6.2 6.3
68000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4.5k4l3f2w1r4n2h3d3;7.4 9.2 9.3 9.4
68600;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t3k4l3f2w3r4n2h3d1;6.2 6.7 9.1 9.3
69100;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k4l3f2.5w1r4n1h3d3;6.7 9.1 9.2 9.3
70600;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;Südalpen, Buchenwälder mässig wechselfeucht;t3k3l3f3.5w2r2n2h3d3;6.7 7.2 9.1 9.2
70800;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3w2r4n3h3d1;2.5 7.4 9.1 9.2
71400;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k3l3f3.5w3r4n2h3d1;2.5 6.5 9.1 9.2
71500;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;;t2k3l3f3.5w1r2n2h5d1;7.1 7.2 8.2 9.1
73600;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t2.5k2l3f3w3r1n2h5d1;6.4 7.1 9.1 9.2
73700;1;0;1;1;1;1;1;0;9;9;9;9;9;9;9;9;9;9;mässig wechselnass;t3k3l3f5w2r3n3h5d1;4.1 4.2 5.1 6.3
74700;1;0;0;0;0;0;1;1;9;9;9;9;9;9;9;9;9;9;;t2k3l4f3w1r2n2h5d3;6.5 7.1 8.2 9.1
75200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht, Rohboden;t2k3l4f3.5w2r5n2h1d3;2.5 3.2 3.3 6.5
76000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k2l2f3.5w3r4n3h3d1;2.6 7.2 8.1 9.2
76500;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k4l3f2w1r4n2h3d3;6.7 7.4 9.1 9.3
76800;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;;t4k4l3f2w1r4n3h3d3;6.7 7.4 9.1 9.3
77100;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k4l4f2w1r3n2h3d3;6.2 6.7 9.1 9.2
77200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t1.5k3l4f2.5w1r3n3h3d3;3.3 6.3 6.5 7.2
77600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l2f3.5w1r4n3h3d3;2.6 7.2 9.2 9.3
78350;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselnass;t3.5k3l4f5w2r3n3h3d1;4.1 4.2 9.2
78500;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l2f3.5w1r3n4h5d3;9.2
78800;1;0;0;0;1;0;0;0;1;9;9;9;9;9;9;9;9;9;;t3k2l2f3.5w1r4n4h5d3;9.2
79100;1;0;0;1;1;1;1;0;9;9;9;9;9;9;9;9;9;9;nährstoffreich;t3.5k3l2f3w1r4n4h5d3;9.2
79600;1;0;0;0;1;0;0;0;9;9;9;9;9;9;9;9;9;9;Oft auf Kalkschutt;t3k2l2f3.5w1r4n4h5d3;9.2
80300;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden;t1.5k3l5f3w1r2n2h1d5;3.2 3.3
81595;0;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;Rohboden;t2.5k4l4f2w1rxn3h1dx;
81600;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t2.5k4l4f2w1r4n3h1d3;3.3 3.4 6.5 7.2
82400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t2.5k2l3f4w2r4n5h3d1;4.2 6.3 7.2 9.2
83000;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;nährstoffreich;t3.5k3l3f4.5w3r4n4h5d1;1.3 1.4 6.3 9.2
83100;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3k4l3f2.5w2r4n2h3d1;7.4 9.1 9.2 9.3
83700;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;;t3k4l3f2.5w1r4n2h3d3;6.2 6.5 9.1 9.2
84300;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k4l3f3.5w3r2n2h3d1;2.6 4.2 7.4 9.2
86100;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t3k3l2f2.5w1r3n2h3d3;2.6 9.1 9.2 9.3
86700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k2l3f4.5w3r2n2h5d1;4.1 4.2 5.1 5.2
86800;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k2l4f5w3r3n3h5d1;1.3 4.2 6.3 9.2
87000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselnass;t3.5k4l3f4.5w2r3n3h5d1;1.3 4.2 6.3 9.2
87200;1;0;0;0;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t2k2l4f3.5w1r4n3h3d3;3.3 4.1 6.5 9.1
87400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t1.5k5l5f2w1r5n1h3d3;2.5 3.2 6.5
87500;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k3l3f2.5w3r4n2h3d1;2.5 6.2 9.1 9.2
88800;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;Auch in sehr trockenen Buchenwäldern;t3.5k4l3f1.5w3r5n2h3d1;6.2 7.3 9.1 9.3
90300;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k4l3f2.5w2r4n2h3d3;6.2 9.1 9.2 9.3
90700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2.5k3l4f4.5w3r2n2h5d1;1.3 4.1 5.1 6.3
91200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f2.5w1r4n2h3d3;6.2 9.1 9.2 9.3
91600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k3l3f3w3r2n3h5d1;5.1 6.3 6.5 9.2
91800;1;0;1;1;1;1;1;0;9;9;9;9;9;9;9;9;9;9;nährstoffreich;t3k2l4f5w3r4n4h5d1;4.1 5.1 5.2 6.3
92100;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselnass;t2k2l4f4.5w2r1n1h5d1;5.1 5.2
92300;1;0;0;0;1;0;0;0;9;9;9;9;9;9;9;9;9;9;nährstoffreich;t3.5k2l2f4w3r3n4h3d1;1.3 2.6 4.2 9.2
92500;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3.5k2l3f2.5w2r1n3h3d1;2.6 6.4 7.1 9.2
93300;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3.5k2l2f4w3r3n3h3d1;2.6 4.2 9.1 9.2
93900;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t1.5k4l4f2w1r3n2h3d3;6.2 6.5 7.1 9.1
94700;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;luftfeucht;t3.5k3l2f3.5w2r3n3h3d3;6.3 7.4 9.1 9.2
95000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t4k4l3f3w2r3n3h5d3;2.6 6.3 6.7 9.2
95800;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2k3l4f2.5w1r3n2h3d3;
95900;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k4l4f2.5w1r2n2h3d3;6.2 6.5 7.1 9.1
97200;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;Lichtzeiger;t4.5k3l3f3w1r2n2h3d3;2.9 9.2 9.3
99200;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t2.5k3l3f3w2r4n3h3d1;6.3 7.2 9.1 9.2
99400;1;0;0;0;0;1;1;0;9;9;9;9;9;9;9;9;9;9;;t2k3l4f3w1r3n3h3d3;6.3 6.5 7.1 8.2
99995;0;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;;
100000;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t4k3l4f2w1r4n2h3d3;6.2 6.7 9.1 9.3
101800;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f2.5w2r4n2h3d3;7.4 9.1 9.2 9.3
101900;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k4l3f2.5w3r4n2h3d1;7.4 9.1 9.2 9.3
102000;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t4k4l3f2.5w1r4n2h3d3;7.4 9.1 9.2 9.3
106700;1;0;0;0;1;1;1;0;9;9;9;9;9;9;9;9;9;9;Hochstaudenflur;t3k2l3f3.5w2r4n4h3d1;2.5 6.3 7.2 9.2
107100;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t2k3l4f3w2r3n3h3d1;6.3 6.5 7.2 9.2
108200;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;mässig basisch;t3.5k3l3f3w1r4n4h3d3;2.2 2.3 2.7 9.5
111200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;;
112400;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;;t4.5k4l4f1.5w1r3n2h3d5;3.1 3.2 6.2
112500;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k3l2f4.5w3r4n3h3d1;4.2 7.2 8.1 9.2
112600;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k1l2f4.5w3r3n3h3d3;2.6 4.1 4.2 9.2
112800;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;Hochstaudenflur;t2k2l3f4w1r3n4h5d3;4.2 7.2 8.1 9.2
113400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t2.5k2l2f4w2r2n2h5d1;2.6 9.1 9.2
113500;1;1;1;1;1;0;0;0;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3.5k2l2f3.5w2r4n4h3d1;2.3 2.6 9.1 9.2
114300;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;;t2.5k4l2f3.5w2r4n3h3d1;6.3 7.2 9.1 9.2
114400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;nährstoffreich;t2.5k4l3f3.5w3r3n4h3d3;2.6 4.2 6.3 7.2
114800;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k3l3f4w2r4n4h5d1;2.6 4.2 6.3 7.2
114900;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f4w3r3n3h5d1;2.6 5.1 6.3 9.2
115600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;sehr trocken;t5k3l4f1w1r2n2h3d5;3.2 7.3 7.6 9.4
116000;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;;t2k3l3f3w1r4n2h3d3;3.2 7.1 8.2 9.1
116400;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3w1r4n3h3d3;6.7 7.4 7.5 9.2
116600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k3l3f2.5w1r4n2h3d3;2.6 6.7 9.2 9.3
117700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3k3l3f3w2r4n3h3d1;2.6 6.3 6.5 9.2
118800;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f2.5w2r3n2h3d1;3.4 7.1 9.1 9.2
119700;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3w1r4n3h3d3;3.3 7.4 9.2 9.3
120400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken, Rohboden;t2.5k4l3f2w2r5n2h1d3;3.2 3.3 6.2 9.1
121100;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3.5k2l3f3.5w1r4n4h3d3;2.1 6.3 9.2
121600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k3l3f3w2r3n3h3d3;7.4 9.1 9.2 9.3
121700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4.5k3l4f1.5w1r4n2h3d3;2.9 3.3 7.4 9.3
122000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken;t3.5k4l4f1.5w2r5n2h1d3;3.2 7.4 9.1 9.3
122400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k4l4f3w2r4n3h3d3;7.4 9.2 9.3 9.5
124300;1;0;1;1;1;1;1;0;9;9;9;9;9;9;9;9;9;9;mässig wechselnass;t3k2l3f4.5w2r3n3h3d1;4.2 5.1 6.3 9.2
124800;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2.5k2l3f3.5w1r4n4h3d3;6.3 7.2 8.2 9.2
126200;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;;t4.5k4l3f3w1r3n3h3d3;6.7 7.4 9.2 9.3
126600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Feld, Blockschutt;t1.5k2l4f3w1r1n3h1d5;3.2 3.3
128400;1;1;1;1;1;0;0;0;9;9;9;9;9;9;9;9;9;9;Föhntäler;t4k4l2f3w1r4n3h3d3;9.1 9.2 9.3
130400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3w2r4n2h3d3;7.4 8.2 9.1 9.2
130700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t3k2l3f3.5w1r4n2h1d5;3.2 3.3 9.2 9.3
131300;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4.5k4l3f2w1r3n2h3d5;6.7 7.1 9.1 9.3
131500;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t4k2l3f2.5w1r2n3h5d1;7.1 7.3 9.1 9.2
131800;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k3l4f3w1r3n4h3d3;2.2 6.3 7.2 9.2
132600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k2l4f4w3r1n2h5d1;2.6 5.1 6.3 9.2
132650;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;;
133100;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k3l4f3.5w3r2n2h5d1;6.2 6.3 6.4 7.1
133500;0;1;0;0;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k2l2f2.5w1r4n2h3d3;9.2 9.3
133700;1;0;0;0;0;1;1;0;9;9;9;9;9;9;9;9;9;9;;t1.5k3l3f2.5w1r4n2h3d3;6.5 7.1 8.2 9.1
