regions;heightLevel;forestType;slope;condition;targets;tannenareal;standortsregion;relief;targetHeight
R4;subalpin;53;;;53*;;;;hochmontan Reliktareal der Tanne
R4;subalpin;53Lä;;;53*;;;;hochmontan Reliktareal der Tanne
R4;subalpin;53Ta;;;53*;;;;hochmontan Reliktareal der Tanne
R4;subalpin;57CLä;;;47Re;Haupt- oder Nebenareal;;;hochmontan Reliktareal der Tanne
R4;subalpin;57CLä;;;47Re;Reliktareal;;;hochmontan Reliktareal der Tanne
R4;subalpin;57VLä;;;46MRe;Haupt- oder Nebenareal;;;hochmontan Reliktareal der Tanne
R4;subalpin;57VLä;;;46MRe;Reliktareal;;;hochmontan Reliktareal der Tanne
R4;subalpin;57BlTa;;;;;;;hochmontan Reliktareal der Tanne
R4;subalpin;57VM;;;47MRe;Haupt- oder Nebenareal;;;hochmontan Reliktareal der Tanne
R4;subalpin;57VM;;;47MRe;Reliktareal;;;hochmontan Reliktareal der Tanne
R4;subalpin;57S;;;56;;;;hochmontan Reliktareal der Tanne
R4;subalpin;58;;;55*;;;;hochmontan Reliktareal der Tanne
R4;subalpin;58Bl;;normal;47H;;;;hochmontan Reliktareal der Tanne
R4;subalpin;58Bl;;trocken, extrem blockig, kühl;58Bl;;;;hochmontan Reliktareal der Tanne
R4;subalpin;58C;;;55*;;;;hochmontan Reliktareal der Tanne
R4;subalpin;60*;;;50*Re;Haupt- oder Nebenareal;;;hochmontan Reliktareal der Tanne
R4;subalpin;60*;;;50*Re;Reliktareal;;;hochmontan Reliktareal der Tanne
R4;subalpin;32V;;alle 6 Jahre oder seltener überschwemmt;32V;;;;hochmontan Reliktareal der Tanne
R4;subalpin;32V;;bis alle 5 Jahre überschwemmt;43S;;;;hochmontan Reliktareal der Tanne
R4;subalpin;AV;;;24*;;;;hochmontan Reliktareal der Tanne
R4;subalpin;57C;;;47;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57C;;;47;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57V;;;46M;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57V;;;46M;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57Bl;;;48;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57Bl;;normal;47H;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57Bl;;schattig, kühl;57Bl;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;60A;;;47D;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;60A;;;47D;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;59A;;;47D;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;59A;;;47D;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;58L;;;55*;;;;hochmontan Nebenareal der Tanne
R4;subalpin;59J;;;55*;;;;hochmontan Nebenareal der Tanne
R4;subalpin;59R;;;59R;;;;hochmontan Nebenareal der Tanne
R4;subalpin;59S;;;52;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;59S;;;52;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;47*;;;47*;;;;hochmontan Nebenareal der Tanne
R4;subalpin;59*;;;47*;;;;hochmontan Nebenareal der Tanne
R4;subalpin;47*Lä;;;47*;;;;hochmontan Nebenareal der Tanne
R4;subalpin;;;;47*lä;;;;hochmontan Nebenareal der Tanne
R4;subalpin;67;;;53Ta;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;67;;;53Ta;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;69;;;53Ta;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;69;;;53Ta;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;70;;;68;;;;hochmontan Nebenareal der Tanne
R4;subalpin;71;;;71;;;;hochmontan Nebenareal der Tanne
R4;subalpin;60;;;47D;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;60;;;47D;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;24*;;;24*;;;;hochmontan Nebenareal der Tanne
R4;subalpin;21*;;;47D;;;;hochmontan Nebenareal der Tanne
R4;subalpin;27*;;;27h;;;;hochmontan Nebenareal der Tanne
R4;subalpin;53;;;53Ta;;;;hochmontan Nebenareal der Tanne
R4;subalpin;53Lä;;;53Lä;;;;hochmontan Nebenareal der Tanne
R4;subalpin;53Ta;;;53Ta;;;;hochmontan Nebenareal der Tanne
R4;subalpin;57CLä;;;47;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57CLä;;;47;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57VLä;;;46M;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57VLä;;;46M;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57BlTa;;;48;;;;hochmontan Nebenareal der Tanne
R4;subalpin;57VM;;;47M;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57VM;;;47M;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;57S;;;56;;;;hochmontan Nebenareal der Tanne
R4;subalpin;58;;;55*;;;;hochmontan Nebenareal der Tanne
R4;subalpin;58Bl;;normal;47H;;;;hochmontan Nebenareal der Tanne
R4;subalpin;58Bl;;trocken, extrem blockig, kühl;58Bl;;;;hochmontan Nebenareal der Tanne
R4;subalpin;58C;;;55*;;;;hochmontan Nebenareal der Tanne
R4;subalpin;60*;;;50*;Haupt- oder Nebenareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;60*;;;50*;Reliktareal;;;hochmontan Nebenareal der Tanne
R4;subalpin;32V;;alle 6 Jahre oder seltener überschwemmt;32V;;;;hochmontan Nebenareal der Tanne
R4;subalpin;32V;;bis alle 5 Jahre überschwemmt;43S;;;;hochmontan Nebenareal der Tanne
R4;subalpin;AV;;;24*;;;;hochmontan Nebenareal der Tanne
R4;hochmontan;47;;;25a;;;;collin
R4;hochmontan;47Re;;;25a;;;;collin
R4;hochmontan;46M;;;42V;;;;collin
R4;hochmontan;46MRe;;;42V;;;;collin
R4;hochmontan;48;;;25au;;;;collin
R4;hochmontan;47H;;;25as;;;;collin
R4;hochmontan;57Bl;;;25au;;;;collin
R4;hochmontan;47D;;;25au;;;;collin
R4;hochmontan;47DRe;;;25au;;;;collin
R4;hochmontan;47D;;;25au;;;;collin
R4;hochmontan;47DRe;;;25au;;;;collin
R4;hochmontan;55*;;normal;42Q;;;;collin
R4;hochmontan;55*;;tiefgründig;42C;;;;collin
R4;hochmontan;59R;;;keine Angabe;;;;collin
R4;hochmontan;52;;;34b;;;;collin
R4;hochmontan;52Re;;;34b;;;;collin
R4;hochmontan;47*;;;33a;;;;collin
R4;hochmontan;47*;;;33a;;;;collin
R4;hochmontan;47*;;;33a;;;;collin
R4;hochmontan;47*Lä;;;33a;;;;collin
R4;hochmontan;53Ta;;;34b;;;;collin
R4;hochmontan;53*;;;34b;;;;collin
R4;hochmontan;53Ta;;;34b;;;;collin
R4;hochmontan;53*;;;34b;;;;collin
R4;hochmontan;68;;;42r;;;;collin
R4;hochmontan;71;;;keine Angabe;;;;collin
R4;hochmontan;47D;;;25au;;;;collin
R4;hochmontan;47DRe;;;25au;;;;collin
R4;hochmontan;24*;;normal;25au;;;;collin
R4;hochmontan;24*;;Schlucht;25f;;;;collin
R4;hochmontan;47D;;;25au;;;;collin
R4;hochmontan;27h;;;27;;;;collin
R4;hochmontan;53Ta;;;34b;;;;collin
R4;hochmontan;53Lä;;;34b;;;;collin
R4;hochmontan;53Ta;;;34b;;;;collin
R4;hochmontan;47;;;25a;;;;collin
R4;hochmontan;47Re;;;25a;;;;collin
R4;hochmontan;46M;;;42V;;;;collin
R4;hochmontan;46MRe;;;42V;;;;collin
R4;hochmontan;48;;;25au;;;;collin
R4;hochmontan;47M;;;34a;;;;collin
R4;hochmontan;47MRe;;;34a;;;;collin
R4;hochmontan;56;;;keine Angabe;;;;collin
R4;hochmontan;55*;;normal;42Q;;;;collin
R4;hochmontan;55*;;tiefgründig;42C;;;;collin
R4;hochmontan;47H;;;25as;;;;collin
R4;hochmontan;58Bl;;;42Q;;;;collin
R4;hochmontan;55*;;normal;42Q;;;;collin
R4;hochmontan;55*;;tiefgründig;42C;;;;collin
R4;hochmontan;50*;;;25b;;;;collin
R4;hochmontan;50*Re;;;25b;;;;collin
R4;hochmontan;32V;;mind. alle 10 Jahre überschwemmt;32C;;;;collin
R4;hochmontan;32V;;weniger als alle 10 Jahre überschwemmt;28;;;;collin
R4;hochmontan;43S;;;43S;;;;collin
R4;hochmontan;24*;;normal;25au;;;;collin
R4;hochmontan;24*;;Schlucht;25f;;;;collin
R4;hochmontan;23*;;;42r;;;;collin
R4;hochmontan;24;;;25a;;;;collin
R4;hochmontan;32*;;;keine Angabe;;;;collin
R4;hochmontan;33V;;;33m;;;;collin
R4;hochmontan;40P;;;40Pt;;;;collin
R4;hochmontan;40PBl;;;40PBlt;;;;collin
R4;hochmontan;66;;;66;;;;collin
R4;hochmontan;AV;;;25au;;;;collin
R4;hochmontan;25a;;;25a;;;;collin
R4;hochmontan Reliktareal der Tanne;47Re;;;25a;;;;collin
R4;hochmontan Reliktareal der Tanne;47Re;;;25a;;;;collin
R4;hochmontan Reliktareal der Tanne;46MRe;;;42V;;;;collin
R4;hochmontan Reliktareal der Tanne;46MRe;;;42V;;;;collin
R4;hochmontan Reliktareal der Tanne;;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;47H;;;25as;;;;collin
R4;hochmontan Reliktareal der Tanne;57Bl;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;47DRe;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;47DRe;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;47DRe;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;47DRe;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;55*;;normal;42Q;;;;collin
R4;hochmontan Reliktareal der Tanne;55*;;tiefgründig;42C;;;;collin
R4;hochmontan Reliktareal der Tanne;59R;;;keine Angabe;;;;collin
R4;hochmontan Reliktareal der Tanne;52Re;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;52Re;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;;;;33a;;;;collin
R4;hochmontan Reliktareal der Tanne;;;;33a;;;;collin
R4;hochmontan Reliktareal der Tanne;;;;33a;;;;collin
R4;hochmontan Reliktareal der Tanne;;;;33a;;;;collin
R4;hochmontan Reliktareal der Tanne;53*;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;53*;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;53*;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;53*;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;68;;;42r;;;;collin
R4;hochmontan Reliktareal der Tanne;71;;;keine Angabe;;;;collin
R4;hochmontan Reliktareal der Tanne;47DRe;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;47DRe;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;24*;;normal;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;24*;;Schlucht;25f;;;;collin
R4;hochmontan Reliktareal der Tanne;47DRe;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;27h;;;27;;;;collin
R4;hochmontan Reliktareal der Tanne;53*;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;53*;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;53*;;;34b;;;;collin
R4;hochmontan Reliktareal der Tanne;47Re;;;25a;;;;collin
R4;hochmontan Reliktareal der Tanne;47Re;;;25a;;;;collin
R4;hochmontan Reliktareal der Tanne;46MRe;;;42V;;;;collin
R4;hochmontan Reliktareal der Tanne;46MRe;;;42V;;;;collin
R4;hochmontan Reliktareal der Tanne;;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;47MRe;;;34a;;;;collin
R4;hochmontan Reliktareal der Tanne;47MRe;;;34a;;;;collin
R4;hochmontan Reliktareal der Tanne;56;;;keine Angabe;;;;collin
R4;hochmontan Reliktareal der Tanne;55*;;normal;42Q;;;;collin
R4;hochmontan Reliktareal der Tanne;55*;;tiefgründig;42C;;;;collin
R4;hochmontan Reliktareal der Tanne;47H;;;25as;;;;collin
R4;hochmontan Reliktareal der Tanne;58Bl;;;42Q;;;;collin
R4;hochmontan Reliktareal der Tanne;55*;;normal;42Q;;;;collin
R4;hochmontan Reliktareal der Tanne;55*;;tiefgründig;42C;;;;collin
R4;hochmontan Reliktareal der Tanne;50*Re;;;25b;;;;collin
R4;hochmontan Reliktareal der Tanne;50*Re;;;25b;;;;collin
R4;hochmontan Reliktareal der Tanne;32V;;mind. alle 10 Jahre überschwemmt;32C;;;;collin
R4;hochmontan Reliktareal der Tanne;32V;;weniger als alle 10 Jahre überschwemmt;28;;;;collin
R4;hochmontan Reliktareal der Tanne;43S;;;43S;;;;collin
R4;hochmontan Reliktareal der Tanne;24*;;normal;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;24*;;Schlucht;25f;;;;collin
R4;hochmontan Reliktareal der Tanne;23*;;;42r;;;;collin
R4;hochmontan Reliktareal der Tanne;24;;;25a;;;;collin
R4;hochmontan Reliktareal der Tanne;32*;;;keine Angabe;;;;collin
R4;hochmontan Reliktareal der Tanne;33V;;;33m;;;;collin
R4;hochmontan Reliktareal der Tanne;40P;;;40Pt;;;;collin
R4;hochmontan Reliktareal der Tanne;40PBl;;;40PBlt;;;;collin
R4;hochmontan Reliktareal der Tanne;66;;;66;;;;collin
R4;hochmontan Reliktareal der Tanne;AV;;;25au;;;;collin
R4;hochmontan Reliktareal der Tanne;25a;;;25a;;;;collin
R4;hochmontan Nebenareal der Tanne;47;;;25a;;;;collin
R4;hochmontan Nebenareal der Tanne;47;;;25a;;;;collin
R4;hochmontan Nebenareal der Tanne;46M;;;42V;;;;collin
R4;hochmontan Nebenareal der Tanne;46M;;;42V;;;;collin
R4;hochmontan Nebenareal der Tanne;48;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;47H;;;25as;;;;collin
R4;hochmontan Nebenareal der Tanne;57Bl;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;47D;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;47D;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;47D;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;47D;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;55*;;normal;42Q;;;;collin
R4;hochmontan Nebenareal der Tanne;55*;;tiefgründig;42C;;;;collin
R4;hochmontan Nebenareal der Tanne;59R;;;keine Angabe;;;;collin
R4;hochmontan Nebenareal der Tanne;52;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;52;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;47*;;;33a;;;;collin
R4;hochmontan Nebenareal der Tanne;47*;;;33a;;;;collin
R4;hochmontan Nebenareal der Tanne;47*;;;33a;;;;collin
R4;hochmontan Nebenareal der Tanne;47*lä;;;33a;;;;collin
R4;hochmontan Nebenareal der Tanne;53Ta;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;53Ta;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;53Ta;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;53Ta;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;68;;;42r;;;;collin
R4;hochmontan Nebenareal der Tanne;71;;;keine Angabe;;;;collin
R4;hochmontan Nebenareal der Tanne;47D;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;47D;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;24*;;normal;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;24*;;Schlucht;25f;;;;collin
R4;hochmontan Nebenareal der Tanne;47D;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;27h;;;27;;;;collin
R4;hochmontan Nebenareal der Tanne;53Ta;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;53Lä;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;53Ta;;;34b;;;;collin
R4;hochmontan Nebenareal der Tanne;47;;;25a;;;;collin
R4;hochmontan Nebenareal der Tanne;47;;;25a;;;;collin
R4;hochmontan Nebenareal der Tanne;46M;;;42V;;;;collin
R4;hochmontan Nebenareal der Tanne;46M;;;42V;;;;collin
R4;hochmontan Nebenareal der Tanne;48;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;47M;;;34a;;;;collin
R4;hochmontan Nebenareal der Tanne;47M;;;34a;;;;collin
R4;hochmontan Nebenareal der Tanne;56;;;keine Angabe;;;;collin
R4;hochmontan Nebenareal der Tanne;55*;;normal;42Q;;;;collin
R4;hochmontan Nebenareal der Tanne;55*;;tiefgründig;42C;;;;collin
R4;hochmontan Nebenareal der Tanne;47H;;;25as;;;;collin
R4;hochmontan Nebenareal der Tanne;58Bl;;;42Q;;;;collin
R4;hochmontan Nebenareal der Tanne;55*;;normal;42Q;;;;collin
R4;hochmontan Nebenareal der Tanne;55*;;tiefgründig;42C;;;;collin
R4;hochmontan Nebenareal der Tanne;50*;;;25b;;;;collin
R4;hochmontan Nebenareal der Tanne;50*;;;25b;;;;collin
R4;hochmontan Nebenareal der Tanne;32V;;mind. alle 10 Jahre überschwemmt;32C;;;;collin
R4;hochmontan Nebenareal der Tanne;32V;;weniger als alle 10 Jahre überschwemmt;28;;;;collin
R4;hochmontan Nebenareal der Tanne;43S;;;43S;;;;collin
R4;hochmontan Nebenareal der Tanne;24*;;normal;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;24*;;Schlucht;25f;;;;collin
R4;hochmontan Nebenareal der Tanne;23*;;;42r;;;;collin
R4;hochmontan Nebenareal der Tanne;24;;;25a;;;;collin
R4;hochmontan Nebenareal der Tanne;32*;;;keine Angabe;;;;collin
R4;hochmontan Nebenareal der Tanne;33V;;;33m;;;;collin
R4;hochmontan Nebenareal der Tanne;40P;;;40Pt;;;;collin
R4;hochmontan Nebenareal der Tanne;40PBl;;;40PBlt;;;;collin
R4;hochmontan Nebenareal der Tanne;66;;;66;;;;collin
R4;hochmontan Nebenareal der Tanne;AV;;;25au;;;;collin
R4;hochmontan Nebenareal der Tanne;25a;;;25a;;;;collin
R5;subalpin;21L;;;21L;;;;hochmontan
R5;subalpin;59A;;;21L;;;;hochmontan
R5;subalpin;21*;;;21*;;;;hochmontan
R5;subalpin;AV;;;24*;;;;hochmontan
R5;subalpin;;;;27h;;;;hochmontan
R5;subalpin;57C;;;47;;;;hochmontan
R5;subalpin;59;;;47;;;;hochmontan
R5;subalpin;47*;;;47*;;;;hochmontan
R5;subalpin;47*Lä;;;47*;;;;hochmontan
R5;subalpin;;;;47*Lä;;;;hochmontan
R5;subalpin;59*;;;47*;;;;hochmontan
R5;subalpin;59S;;;52;;;;hochmontan
R5;subalpin;58;;;55*;;;;hochmontan
R5;subalpin;59J;;;55*;;;;hochmontan
R5;subalpin;70;;;68;;;;hochmontan
R5;subalpin;70;;;68;;;;hochmontan
R5;subalpin;67;;;67;;;;hochmontan
R5;subalpin;69;;;69;;;;hochmontan
R5;subalpin;71;;;keine Abgabe;;;;hochmontan
R5;obersubalpin;21L;;;21L;;;;hochmontan
R5;obersubalpin;59A;;;21L;;;;hochmontan
R5;obersubalpin;21*;;;21*;;;;hochmontan
R5;obersubalpin;AV;;;24*;;;;hochmontan
R5;obersubalpin;;;;27h;;;;hochmontan
R5;obersubalpin;57C;;;47;;;;hochmontan
R5;obersubalpin;59;;;47;;;;hochmontan
R5;obersubalpin;47*;;;47*;;;;hochmontan
R5;obersubalpin;47*Lä;;;47*;;;;hochmontan
R5;obersubalpin;;;;47*Lä;;;;hochmontan
R5;obersubalpin;59*;;;47*;;;;hochmontan
R5;obersubalpin;59S;;;52;;;;hochmontan
R5;obersubalpin;58;;;55*;;;;hochmontan
R5;obersubalpin;59J;;;55*;;;;hochmontan
R5;obersubalpin;70;;;68;;;;hochmontan
R5;obersubalpin;70;;;68;;;;hochmontan
R5;obersubalpin;67;;;67;;;;hochmontan
R5;obersubalpin;69;;;69;;;;hochmontan
R5;obersubalpin;71;;;keine Abgabe;;;;hochmontan
R5;hochmontan;21L;;;21L;;;;obermontan
R5;hochmontan;21L;;;21L;;;;obermontan
R5;hochmontan;21*;;;19P;;;;obermontan
R5;hochmontan;23*;;;23*;;;;obermontan
R5;hochmontan;24;;;24;;;;obermontan
R5;hochmontan;24*;;;24*;;;;obermontan
R5;hochmontan;32V;;;32V;;;;obermontan
R5;hochmontan;32*;;;32*;;;;obermontan
R5;hochmontan;27h;;;27;;;;obermontan
R5;hochmontan;40P;;;40P;;;;obermontan
R5;hochmontan;40PBl;;;40PBl;;;;obermontan
R5;hochmontan;43S;;;43S;;;;obermontan
R5;hochmontan;47;;;19a;;;;obermontan
R5;hochmontan;47;;;19a;;;;obermontan
R5;hochmontan;47D;;;19m;;;;obermontan
R5;hochmontan;47H;;;47H;;;;obermontan
R5;hochmontan;47M;;;3;;;;obermontan
R5;hochmontan;47*;;;4;;;;obermontan
R5;hochmontan;47*;;;4;;;;obermontan
R5;hochmontan;47*Lä;;;4;;;;obermontan
R5;hochmontan;47*;;;4;;;;obermontan
R5;hochmontan;52;;;14*;;;;obermontan
R5;hochmontan;48;;;24*;;;;obermontan
R5;hochmontan;55*;;;3s;;;;obermontan
R5;hochmontan;55*;;;3s;;;;obermontan
R5;hochmontan;50*;;;12*;;;;obermontan
R5;hochmontan;55*Ta;;;3s;;;;obermontan
R5;hochmontan;57Bl;;;24*;;;;obermontan
R5;hochmontan;66;;;keine Angabe;;;;obermontan
R5;hochmontan;68;;;68;;;normal;obermontan
R5;hochmontan;68;;;42r;;;warm und strahlungsreich;obermontan
R5;hochmontan;67;;;16*;;;;obermontan
R5;hochmontan;69;;;14*;;;;obermontan
R5;hochmontan;keine Abgabe;;;;;;;obermontan
R5;hochmontan;AV;;;24*;;;;obermontan
R5;hochmontan;21L;;;21L;;;;untermontan
R5;hochmontan;21L;;;21L;;;;untermontan
R5;hochmontan;21*;;;19P;;;;untermontan
R5;hochmontan;23*;;;23*;;;;untermontan
R5;hochmontan;24;;;24;;;;untermontan
R5;hochmontan;24*;;;24*;;;;untermontan
R5;hochmontan;32V;;;32V;;;;untermontan
R5;hochmontan;32*;;;32*;;;;untermontan
R5;hochmontan;27h;;;27;;;;untermontan
R5;hochmontan;40P;;;40P;;;;untermontan
R5;hochmontan;40PBl;;;40PBl;;;;untermontan
R5;hochmontan;43S;;;43S;;;;untermontan
R5;hochmontan;47;;;19a;;;;untermontan
R5;hochmontan;47;;;19a;;;;untermontan
R5;hochmontan;47D;;;19m;;;;untermontan
R5;hochmontan;47H;;;47H;;;;untermontan
R5;hochmontan;47M;;;3;;;;untermontan
R5;hochmontan;47*;;;4;;;;untermontan
R5;hochmontan;47*;;;4;;;;untermontan
R5;hochmontan;47*Lä;;;4;;;;untermontan
R5;hochmontan;47*;;;4;;;;untermontan
R5;hochmontan;52;;;14*;;;;untermontan
R5;hochmontan;48;;;24*;;;;untermontan
R5;hochmontan;55*;;;3s;;;;untermontan
R5;hochmontan;55*;;;3s;;;;untermontan
R5;hochmontan;50*;;;12*;;;;untermontan
R5;hochmontan;55*Ta;;;3s;;;;untermontan
R5;hochmontan;57Bl;;;24*;;;;untermontan
R5;hochmontan;66;;;keine Angabe;;;;untermontan
R5;hochmontan;68;;;68;;;normal;untermontan
R5;hochmontan;68;;;42r;;;warm und strahlungsreich;untermontan
R5;hochmontan;67;;;16*;;;;untermontan
R5;hochmontan;69;;;14*;;;;untermontan
R5;hochmontan;keine Abgabe;;;;;;;untermontan
R5;hochmontan;AV;;;24*;;;;untermontan
R5;ober- und untermontan;21L;;;25au;;;;collin mit Buche
R5;ober- und untermontan;21L;;;25au;;;;collin mit Buche
R5;ober- und untermontan;19P;;;33m;;;;collin mit Buche
R5;ober- und untermontan;23*;;;42B;;;;collin mit Buche
R5;ober- und untermontan;24;;;25a;;;;collin mit Buche
R5;ober- und untermontan;24*;;;25au;;;;collin mit Buche
R5;ober- und untermontan;32V;;;32C;;;;collin mit Buche
R5;ober- und untermontan;32*;;;27;;;;collin mit Buche
R5;ober- und untermontan;27;;;27;;;;collin mit Buche
R5;ober- und untermontan;40P;;;40Pt;;;;collin mit Buche
R5;ober- und untermontan;40PBl;;;25as;;;;collin mit Buche
R5;ober- und untermontan;43S;;;43S;;;;collin mit Buche
R5;ober- und untermontan;19a;;;3L/4L;;;;collin mit Buche
R5;ober- und untermontan;19a;;;3L/4L;;;;collin mit Buche
R5;ober- und untermontan;19m;;;3L/4L;;;;collin mit Buche
R5;ober- und untermontan;47H;;;25as;;;;collin mit Buche
R5;ober- und untermontan;3;;normal;42V;;;;collin mit Buche
R5;ober- und untermontan;3;;tiefgründig;34a;;;;collin mit Buche
R5;ober- und untermontan;4;;;3L/4L;;;;collin mit Buche
R5;ober- und untermontan;4;;;3L/4L;;;;collin mit Buche
R5;ober- und untermontan;4;;;3L/4L;;;;collin mit Buche
R5;ober- und untermontan;4;;;3L/4L;;;;collin mit Buche
R5;ober- und untermontan;14*;;normal;37;;;;collin mit Buche
R5;ober- und untermontan;14*;;mit viel Schutt;25O;;;;collin mit Buche
R5;ober- und untermontan;24*;;;25au;;;;collin mit Buche
R5;ober- und untermontan;3s;;normal;42Q;;;;collin mit Buche
R5;ober- und untermontan;3s;;flachgründig;42r;;;;collin mit Buche
R5;ober- und untermontan;12*;;;36;;;;collin mit Buche
R5;ober- und untermontan;3s;;normal;42Q;;;;collin mit Buche
R5;ober- und untermontan;3s;;flachgründig;42r;;;;collin mit Buche
R5;ober- und untermontan;24*;;;25au;;;;collin mit Buche
R5;ober- und untermontan;keine Angabe;;;66;;;;collin mit Buche
R5;ober- und untermontan;68;;;42r;;;;collin mit Buche
R5;ober- und untermontan;42r;;;42r;;;;collin mit Buche
R5;ober- und untermontan;16*;;;38*;;;;collin mit Buche
R5;ober- und untermontan;14*;;normal;37;;;;collin mit Buche
R5;ober- und untermontan;14*;;mit viel Schutt;25O;;;;collin mit Buche
R5;ober- und untermontan;;;;;;;;collin mit Buche
R5;ober- und untermontan;24*;;;25au;;;;collin mit Buche
R5;ober- und untermontan;3*/4*;;;3LV;;;;collin mit Buche
R5;ober- und untermontan;12*h;;;36;;;;collin mit Buche
R5;ober- und untermontan;13*;;;13*;;;;collin mit Buche
R5;ober- und untermontan;27h;;;27;;;;collin mit Buche
R5;ober- und untermontan;AV;;;25au;;;;collin mit Buche
R5;ober- und untermontan;40Pt;;;40Pt;;;;collin mit Buche
R5;ober- und untermontan;40PBlt;;;25as;;;;collin mit Buche
R5;ober- und untermontan;21L;;;25au hyp;;;;hyperinsubrisch
R5;ober- und untermontan;21L;;;25au hyp;;;;hyperinsubrisch
R5;ober- und untermontan;19P;;;33m hyp;;;;hyperinsubrisch
R5;ober- und untermontan;23*;;;42B hyp;;;;hyperinsubrisch
R5;ober- und untermontan;24;;;25a hyp;;;;hyperinsubrisch
R5;ober- und untermontan;24*;;;25au hyp;;;;hyperinsubrisch
R5;ober- und untermontan;32V;;;32C hyp;;;;hyperinsubrisch
R5;ober- und untermontan;32*;;;27 hyp;;;;hyperinsubrisch
R5;ober- und untermontan;27;;;27 hyp;;;;hyperinsubrisch
R5;ober- und untermontan;40P;;;40P hyp;;;;hyperinsubrisch
